sample_id,elapsed_ms,x,y,z,collision,blocked_path
1,265000,84.30,6224.18,83.84,3,0
2,266000,84.30,6224.18,83.84,3,0
3,270000,84.30,6224.18,83.84,3,0
4,270000,84.30,6224.18,83.84,3,0
5,270000,84.30,6224.18,83.84,3,0
6,270000,84.30,6224.18,83.84,3,0
7,270000,84.30,6224.18,83.84,3,0
8,271000,84.30,6224.18,83.84,3,0
9,271000,84.30,6224.18,83.84,3,0
10,271000,84.30,6224.18,83.84,3,0
11,271000,84.30,6224.18,83.84,3,0
12,272000,84.30,6224.18,83.84,3,0
13,272000,84.30,6224.18,83.84,3,0
14,272000,84.30,6224.18,83.84,3,0
15,272000,84.30,6224.18,83.84,3,0
16,272000,84.30,6224.18,83.84,3,0
17,273000,84.30,6224.18,83.84,3,0
18,273000,84.30,6224.18,83.84,3,0
19,273000,84.30,6224.18,83.84,3,0
20,273000,84.30,6224.18,83.84,3,0
21,273000,84.30,6224.18,83.84,3,0
22,273000,84.30,6224.18,83.84,3,0
23,273000,84.30,6224.18,83.84,3,0
24,273000,84.30,6224.18,83.84,3,0
25,273000,84.30,6224.18,83.84,3,0
26,273000,84.30,6224.18,83.84,3,0
27,273000,84.30,6224.18,83.84,3,0
28,273000,84.30,6224.18,83.84,3,0
29,273000,84.30,6224.18,83.84,3,0
30,273000,84.30,6224.18,83.84,3,0
31,273000,84.30,6224.18,83.84,3,0
32,273000,84.30,6224.18,83.84,3,0
33,273000,84.30,6224.18,83.84,3,0
34,273000,84.30,6224.18,83.84,3,0
35,273000,84.30,6224.18,83.84,3,0
36,274000,84.30,6224.18,83.84,3,0
37,274000,84.30,6224.18,83.84,3,0
38,274000,84.30,6224.18,83.84,3,0
39,274000,84.30,6224.18,83.84,3,0
40,274000,84.30,6224.18,83.84,3,0
41,274000,84.30,6224.18,83.84,3,0
42,274000,84.30,6224.18,83.84,3,0
43,274000,84.30,6224.18,83.84,3,0
44,274000,84.30,6224.18,83.84,3,0
45,274000,84.30,6224.18,83.84,3,0
46,274000,84.30,6224.18,83.84,3,0
47,274000,84.30,6224.18,83.84,3,0
48,275000,84.30,6224.18,83.84,3,0
49,275000,84.30,6224.18,83.84,3,0
50,275000,84.30,6224.18,83.84,3,0
51,275000,84.30,6224.18,83.84,3,0
52,275000,84.30,6224.18,83.84,3,0
53,275000,84.30,6224.18,83.84,3,0
54,275000,84.30,6224.18,83.84,3,0
55,275000,84.30,6224.18,83.84,3,0
56,275000,84.30,6224.18,83.84,3,0
57,275000,84.30,6224.18,83.84,3,0
58,276000,84.30,6224.18,83.84,3,0
59,276000,84.30,6224.18,83.84,3,0
60,276000,84.30,6224.18,83.84,3,0
61,276000,84.30,6224.18,83.84,3,0
62,276000,84.30,6224.18,83.84,3,0
63,276000,84.30,6224.18,83.84,3,0
64,276000,84.30,6224.18,83.84,3,0
65,276000,84.30,6224.18,83.84,3,0
66,276000,84.30,6224.18,83.84,3,0
67,276000,84.30,6224.18,83.84,3,0
68,276000,84.30,6224.18,83.84,3,0
69,276000,84.30,6224.18,83.84,3,0
70,281000,84.30,6224.18,83.84,3,0
71,281000,84.30,6224.18,83.84,3,0
72,282000,84.30,6224.18,83.84,3,0
73,282000,84.30,6224.18,83.84,3,0
74,282000,84.30,6224.18,83.84,3,0
75,282000,84.30,6224.18,83.84,3,0
76,282000,84.30,6224.18,83.84,3,0
77,282000,84.30,6224.18,83.84,3,0
78,282000,84.30,6224.18,83.84,3,0
79,283000,84.30,6224.18,83.84,3,0
80,283000,84.30,6224.18,83.84,3,0
81,283000,84.30,6224.18,83.84,3,0
82,283000,84.30,6224.18,83.84,3,0
83,283000,84.30,6224.18,83.84,3,0
84,283000,84.30,6224.18,83.84,3,0
85,283000,84.30,6224.18,83.84,3,0
86,283000,84.30,6224.18,83.84,3,0
87,284000,84.30,6224.18,83.84,3,0
88,284000,84.30,6224.18,83.84,3,0
89,285000,84.30,6224.18,83.84,3,0
90,285000,84.30,6224.18,83.84,3,0
91,286000,84.30,6224.18,83.84,3,0
92,287000,84.30,6224.18,83.84,3,0
93,289000,84.30,6224.18,83.84,3,0
94,290000,84.30,6224.18,83.84,3,0
95,291000,84.30,6224.18,83.84,3,0
96,292000,84.30,6224.18,83.84,3,0
97,293000,84.30,6224.18,83.84,3,0
98,293000,84.30,6224.18,83.84,3,0
99,294000,84.30,6224.18,83.84,3,0
100,295000,84.30,6224.18,83.84,3,0
101,296000,84.30,6224.18,83.84,3,0
102,297000,107.77,6172.20,85.50,3,0
103,298000,206.05,6149.69,87.03,3,0
104,299000,298.75,6136.69,87.59,3,0
105,300000,308.47,6107.62,88.07,3,0
106,301000,335.39,6098.50,88.76,3,0
107,302000,345.88,6096.61,88.93,3,0
108,303000,346.17,6096.71,194.86,3,0
109,304000,348.22,6098.76,210.11,3,0
110,305000,353.82,6109.30,303.63,3,0
111,306000,345.53,6115.23,375.56,3,0
112,307000,345.29,6115.33,406.75,3,0
113,308000,345.29,6115.33,443.57,3,0
114,309000,345.29,6115.33,443.57,3,0
115,310000,345.29,6115.33,443.57,3,0
116,311000,345.29,6115.33,443.57,3,0
117,312000,345.29,6115.33,443.57,3,0
118,313000,345.29,6115.33,443.57,3,0
119,314000,315.55,6117.60,443.57,3,0
120,317000,314.83,6104.52,421.16,3,0
121,318000,314.83,6104.52,421.16,3,0
122,320000,314.83,6104.52,421.16,3,0
123,321000,308.71,6069.95,261.08,3,0
124,322000,308.71,6069.95,261.08,3,0
125,323000,308.71,6069.95,261.08,3,0
126,323000,327.15,6077.64,88.76,3,0
127,324000,327.15,6077.64,88.76,3,0
128,325000,327.15,6077.64,88.76,3,0
129,326000,327.51,6078.00,88.75,3,0
