sample_id,elapsed_ms,x,y,z,collision,blocked_path
1,201000,84.30,6224.18,83.84,3,0
2,201000,84.30,6224.18,83.84,3,0
3,201000,84.30,6224.18,83.84,3,0
4,202000,84.30,6224.18,83.84,3,0
5,202000,84.30,6224.18,83.84,3,0
6,202000,84.30,6224.18,83.84,3,0
7,202000,84.30,6224.18,83.84,3,0
8,202000,84.30,6224.18,83.84,3,0
9,202000,84.30,6224.18,83.84,3,0
10,202000,84.30,6224.18,83.84,3,0
11,202000,84.30,6224.18,83.84,3,0
12,202000,84.30,6224.18,83.84,3,0
13,203000,84.30,6224.18,83.84,3,0
14,204000,84.30,6224.18,83.84,3,0
15,204000,84.30,6224.18,83.84,3,0
16,205000,84.30,6224.18,83.84,3,0
17,205000,84.30,6224.18,83.84,3,0
18,205000,84.30,6224.18,83.84,3,0
19,205000,84.30,6224.18,83.84,3,0
20,206000,84.30,6224.18,83.84,3,0
21,207000,84.30,6224.18,83.84,3,0
22,208000,84.30,6224.18,83.84,3,0
23,209000,84.30,6224.18,83.84,3,0
24,210000,84.30,6224.18,83.84,3,0
25,211000,84.30,6224.18,83.84,3,0
26,212000,84.30,6224.18,83.84,3,0
27,213000,84.30,6224.18,83.84,3,0
28,214000,84.30,6224.18,83.84,3,0
29,215000,84.30,6224.18,83.84,3,0
30,216000,84.30,6224.18,83.84,3,0
31,217000,84.30,6224.18,83.84,3,0
32,218000,84.30,6224.18,83.84,3,0
33,219000,84.30,6224.18,83.84,3,0
34,220000,84.30,6224.18,83.84,3,0
35,221000,84.30,6224.18,83.84,3,0
36,222000,84.30,6224.18,83.84,3,0
37,223000,84.30,6224.18,83.84,3,0
38,224000,84.30,6224.18,83.84,3,0
39,225000,84.30,6224.18,83.84,3,0
40,226000,84.30,6224.18,83.84,3,0
41,227000,84.30,6224.18,83.84,3,0
42,228000,84.30,6224.18,83.84,3,0
43,229000,84.30,6224.18,83.84,3,0
44,230000,84.30,6224.18,83.84,3,0
45,231000,84.30,6224.18,83.84,3,0
46,232000,84.30,6224.18,83.84,3,0
47,233000,84.30,6224.18,83.84,3,0
48,234000,84.30,6224.18,83.84,3,0
49,235000,84.30,6224.18,83.84,3,0
50,236000,84.30,6224.18,83.84,3,0
51,237000,84.30,6224.18,83.84,3,0
52,238000,84.30,6224.18,83.84,3,0
53,239000,84.30,6224.18,83.84,3,0
54,240000,84.30,6224.18,83.84,3,0
55,241000,84.30,6224.18,83.84,3,0
56,242000,84.30,6224.18,83.84,3,0
57,243000,84.30,6224.18,83.84,3,0
58,244000,84.30,6224.18,83.84,3,0
59,245000,84.30,6224.18,83.84,3,0
60,246000,84.30,6224.18,83.84,3,0
61,247000,84.30,6224.18,83.84,3,0
62,248000,84.30,6224.18,83.84,3,0
63,249000,84.30,6224.18,83.84,3,0
64,250000,84.30,6224.18,83.84,3,0
65,251000,84.30,6224.18,83.84,3,0
66,252000,84.30,6224.18,83.84,3,0
67,253000,84.30,6224.18,83.84,3,0
68,254000,84.30,6224.18,83.84,3,0
69,255000,84.30,6224.18,83.84,3,0
70,256000,84.30,6224.18,83.84,3,0
71,257000,84.30,6224.18,83.84,3,0
